word|transliteration|meaning|sentences
数|かず|"""number <font color=""""#8e8e93"""">(quantity or a count of something)</font>"""|グラスの数が足りません。<br><br>いすの数を数えてください。
近い|ちかい|near, close|駅はここから近いです。<br><br>そのホテルは空港から近いですか。
そこ|そこ|there|そこに座ってください。<br><br>そこを左に曲がってください。
走る|はしる|to run|彼は毎晩3キロ走っています。<br><br>彼は走るのが速い。
入れる|いれる|"""to put in, insert <span style=""""color: rgb(102, 102, 102);"""">(direct object を)</span>"""|彼はかばんに手帳を入れた。<br><br>コーヒーに砂糖は入れますか。
教える|おしえる|to teach, tell|彼は数学を教えています。<br><br>あなたの名前を教えてください。
歩く|あるく|"""to walk, <font color=""""#8e8e93"""">go on foot</font>"""|駅まで歩きましょう。<br><br>私は森を歩くのが好きです。
会う|あう|to meet|また会いましょう。<br><br>昨日おじさんに会いました。
書く|かく|to write|彼に手紙を書きました。<br><br>お名前をカタカナで書いてください。
頭|あたま|head|今朝から頭が痛い。<br><br>彼はすごく頭がいいです。
売る|うる|to sell|彼は家を売った。<br><br>私は、古い本を売りました。
大好き|だいすき|"""to like (something) a lot, <font color=""""#8e8e93"""">love&nbsp;</font>"""|私は犬が大好きだ。<br><br>私は夏が大好き。
体|からだ|"""<span style=""""color: rgb(255, 85, 0);"""">body, physique, physical condition</span>"""|私は体が丈夫だ。<br><br>タバコは体に悪い。
直ぐ|すぐ|"""at once, soon, <font color=""""#8e8e93"""">immediately&nbsp;</font>"""|直ぐ行きます。<br><br>直ぐ来てください。
飛ぶ|とぶ|to jump, fly|鳥が飛んでいます。<br><br>飛行機が山の向こうへ飛んでいきました。
とても|とても|"""very <font color=""""#8e8e93"""">(colloquial)</font>"""|この本はとてもおもしろい。<br><br>このスープはとても熱い。
誰|だれ|who|誰と会ってみたいですか。<br><br>誰もその話を知らない。
好き|すき|"""to like <font color=""""#8e8e93"""">(something が すき です)</font>, favorite <font color=""""#8e8e93"""">(な adj)</font>"""|私はワインが好きです。<br><br>子供はカレーライスが好きです。
読む|よむ|"""to read<div><font color=""""#8e8e93"""">— more general than dokusho suru and refers to reading anything in general&nbsp;</font></div>"""|彼女は雑誌を読んでいます。<br><br>テキストを読んでください。
次|つぎ|"""<font color=""""#af52de"""">next</font>"""|次はいつ会いましょうか。<br><br>次の駅で降ります。
あなた|あなた|you|これはあなたの鞄ですか。<br><br>あなたの名前を教えてください。
飲む|のむ|"""to drink, to take<span style=""""color: rgb(102, 102, 102);""""> (eg pills), swallow</span>"""|友達とお酒を飲んでいます。<br><br>ワインを少し飲みました。
古い|ふるい|"""old <font color=""""#8e8e93"""">(things, not people)</font>"""|私は古い車が好きです。<br><br>あそこに古いお寺があります。
質問|しつもん|"""<span style=""""color: rgb(14, 130, 255);"""">question</span>"""|質問のある方はどうぞ。<br><br>質問は何ですか。
今日|きょう|"""today <span style=""""color: rgb(102, 102, 102);"""">(colloquial)</span>"""|今日は仕事がありません。<br><br>今日は風が強いです。
友達|ともだち|"""friend, <font color=""""#8e8e93"""">companion (casual)</font>"""|私には友達がたくさんいます。<br><br>友達とキャンプに行った。
早い|はやい|"""early, fast, <font color=""""#8e8e93"""">quick</font>"""|まだ学校へ行くには早い時間です。<br><br>朝早い電車で行きましょう。
どれ|どれ|"""which one <font color=""""#8e8e93"""">(3 or more)</font>"""|この中でどれが好きですか。<br><br>ソースはどれですか。
美しい|うつくしい|beautiful|この絵は美しいです。<br><br>今夜は星がとても美しい。
いつも|いつも|"""always <font color=""""#8e8e93"""">(colloquial)</font>"""|彼女はいつも元気だ。<br><br>朝ご飯にはいつもパンを食べる。
足|あし|leg, foot|彼は足が長い。<br><br>彼女は足が太い。
起こす|おこす|"""to wake (someone) up<div><font color=""""#8e8e93"""">(direct object)</font></div>"""|明日、6時に起こしてください。<br><br>私は、毎朝7時に息子を起こします。
見せる|みせる|"""<font color=""""#007aff"""">to show, present</font>"""|その写真を見せてください。<br><br>去年のデータを見せてください。
娘|むすめ|daughter, girl|私の娘はアメリカにいます。<br><br>娘がピンクのドレスを着ている。
楽しむ|たのしむ|"""<span style=""""color: rgb(255, 0, 255);"""">to enjoy, have fun </span><font color=""""#8e8e93"""">(direct object)</font>"""|今日は一人の時間を楽しみたい。<br><br>日本の生活を楽しんでください。
色|いろ|color|すてきな色のセーターですね。<br><br>どっちの色が好きですか。
みんな|みんな|everybody (colloquial)|みんなにお菓子をあげましょう。<br><br>みんなにこのことを伝えてください。
取る|とる|to take, get|テストでいい点を取った。<br><br>メモを取ってください。
勉強|べんきょう|study<br>|私は日本語を勉強しています。<br><br>彼は今、勉強しています。
できる|できる|"""to be able to do something, <span style=""""color: rgb(102, 102, 102);"""">to be completed</span>"""|彼女はイタリア語ができます。<br><br>トラックを運転できますか。
短い|みじかい|short, brief|彼は足が短い。<br><br>このセーターはちょっと短いですね。
落ちる|おちる|"""to fall, come down<font color=""""#8e8e93""""> (objects and abstract)</font><div><font color=""""#8e8e93"""">(no direct object)</font></div>"""|猿も木から落ちる。<br><br>道に何か落ちています。
息子|むすこ|son|うちの息子は大学1年生です。<br><br>息子は中学生です。
白い|しろい|"""white, <font color=""""#8e8e93"""">blank</font>"""|彼は歯が白い。<br><br>庭に白いネコがいます。
飛行機|ひこうき|airplane, flight|息子は飛行機のおもちゃが好きです。<br><br>飛行機が1時間以上遅れた。
病気|びょうき|illness|祖父が病気になった。<br><br>彼女は病気の犬を助けた。
冬|ふゆ|"""<font color=""""#007aff"""">winter</font>"""|カナダの冬はとても寒いです。<br><br>冬はよくスキーに行きます。
年|とし|year, age|新しい年が始まりました。<br><br>いとこと私は同じ年です。
重い|おもい|heavy|このかばんは重いです。<br><br>この箱は重い。
胸|むね|"""chest, <font color=""""#8e8e93"""">breast</font>"""|胸に少し痛みがあります。<br><br>彼女の髪は胸まである。
払う|はらう|"""to pay <span style=""""color: rgb(102, 102, 102);"""">(money, respect, attention, etc.)</span>"""|私が払いましょう。<br><br>別々に払いましょう。
軽い|かるい|"""light <font color=""""#8e8e93"""">(of weight, degree, etc.)</font>"""|この靴はとても軽い。<br><br>あなたのかばんは軽いですね。
見つける|みつける|"""<span style=""""color: rgb(14, 130, 255);"""">to find</span> <span style=""""color: rgb(102, 102, 102);"""">(direct object を)</span>"""|新しい仕事を見つけました。<br><br>うまい寿司屋を見つけたよ。
忘れる|わすれる|to forget, leave behind|約束を忘れないでください。<br><br>電車に傘を忘れた。
酒|さけ|alcohol, rice wine|彼女は酒に強い。<br><br>友達とお酒を飲んでいます。
どちら|どちら|"""which <font color=""""#8e8e93"""">(2 things, polite)</font>"""|肉と魚とどちらが好きですか。<br><br>コーヒーと紅茶、どちらにしますか。
姉|あね|(one's own) older sister|姉は大学生です。<br><br>姉は銀行で働いています。
覚える|おぼえる|memorize, learn|妹は平仮名を全部覚えました。<br><br>その車のナンバーを覚えていますか。
狭い|せまい|"""narrow, small, <font color=""""#8e8e93"""">cramped</font>"""|私の部屋は狭いです。<br><br>新しいオフィスはとても狭い。
赤い|あかい|red|赤いバラを買いました。<br><br>赤い線を2本引いてください。
着る|きる|"""to wear, put on <font color=""""#8e8e93"""">(above the waist)</font>"""|今日はスーツを着ています。<br><br>このパジャマを着て。
笑う|わらう|to laugh, smile|赤ん坊が笑っています。<br><br>妹はよく笑います。
一番|いちばん|#1, most, best|彼はクラスで一番背が高い。<br><br>これがこの町で一番高いビルです。
授業|じゅぎょう|class session, lecture|今日は日本語の授業があります。<br><br>私は英語の授業が好きです。
週|しゅう|week|その次の週は空いてますか。<br><br>私は週に1回、テニスをします。
漢字|かんじ|Chinese character|漢字は中国からきました。<br><br>この漢字の読み方を教えてください。
自転車|じてんしゃ|bicycle|毎日、駅まで自転車で行きます。<br><br>昨日、自転車で海に行きました。
電車|でんしゃ|train|私は電車で通学しています。<br><br>電車に傘を忘れた。
探す|さがす|"""to search for,<span style=""""color: rgb(102, 102, 102);""""> look for (</span><span style=""""color: rgb(142, 142, 147);"""">someone or something one wants — direct object)</span>"""|彼は郵便局を探していました。<br><br>私は犬を探しています。
紙|かみ|paper|紙と鉛筆はありますか。<br><br>紙に大きな丸を描きました。
歌う|うたう|to sing|私たちは大きな声で歌いました。<br><br>母はいつもその歌を歌います。
遅い|おそい|"""<span style=""""color: rgb(255, 170, 127);"""">slow, late</span>"""|前の車はとても遅い。<br><br>もう遅いので帰ります。
首|くび|neck|きりんの首は長い。<br><br>朝起きてから首が痛いです。
速い|はやい|fast, quick|彼は走るのが速い。<br><br>この車はとても速いですよ。
一緒に|いっしょに|together, at the same time|一緒に帰りましょう。<br><br>もちろん一緒に行きます。
今月|こんげつ|this month|今月はとても忙しい。<br><br>今月はミーティングがたくさんあります。
遊ぶ|あそぶ|to play|子供たちが公園で遊んでいる。<br><br>友達とトランプをして遊びました。
遠い|とおい|"""<font color=""""#af52de"""">far, distant</font>"""|家から学校までは遠いです。<br><br>私の家は駅から遠いです。
弱い|よわい|"""weak, <font color=""""#8e8e93"""">frail</font>"""|その子は体が少し弱い。<br><br>そのチームは弱かったです。
耳|みみ|ear|彼女は耳がよく聞こえません。<br><br>うちのおじいちゃんは耳が遠い。
座る|すわる|to sit, sit down|私は窓側の席に座った。<br><br>そこに座ってください。
右|みぎ|right|右のポケットにハンカチが入っています。<br><br>彼は右の耳がよく聞こえない。
浴びる|あびる|"""<span style=""""color: rgb(255, 170, 0);"""">to take a shower, bask</span>"""|私は朝、シャワーを浴びます。<br><br>朝、急いでシャワーを浴びました。
肩|かた|"""<font color=""""#ff9500"""">shoulder</font>"""|肩が凝りました。<br><br>この頃、よく肩が凝る。
寝る|ねる|to sleep, go to sleep|もう寝よう。<br><br>彼はベッドで寝ています。
消す|けす|"""to turn off, <span style=""""color: rgb(255, 0, 255);"""">erase, </span><font color=""""#8e8e93"""">switch off</font>"""|昼間は電気を消してください。<br><br>火を消して。
元気|げんき|"""healthy, vigor, vitality,&nbsp;<div><font color=""""#8e8e93"""">health, energetic</font></div>"""|おかげさまで元気です。<br><br>彼女はいつも元気だ。
全部|ぜんぶ|all, whole|それ、全部ください。<br><br>私は平仮名を全部読めます。
去年|きょねん|"""last year <font color=""""#8e8e93"""">(casual)</font>"""|私は去年フランスへ行った。<br><br>去年のデータを見せてください。
引く|ひく|"""to draw, pull <font color=""""#8e8e93"""">(direct object)</font>"""|このドアは引いてください。<br><br>赤い線を2本引いてください。
図書館|としょかん|library|図書館で料理の本を借りた。<br><br>日曜日は図書館に行きます。
上げる|上げる<br><div>上がる</div>|"""to raise, lift <font color=""""#8e8e93"""">(direct object を)&nbsp;</font>"""|彼は荷物をあみだなに上げた。<br><br>分かった人は手を上げてください。
緑|みどり|green color, greenery|この町には緑がたくさんあります。<br><br>あの町は緑を増やしています。
腕|うで|arm|彼の腕は太い。<br><br>ゴルフのあと、腕が痛くなりました。
ドア|どあ|"""door<font color=""""#8e8e93""""> (loan word)</font>"""|ドアを開けてください。<br><br>電車のドアが開きました。
女の子|おんなのこ|little girl|あの女の子を知っていますか。<br><br>彼女は普通の女の子だ。
男の子|おとこのこ|boy|男の子たちがサッカーをしている。<br><br>このクラスは男の子の方が多いです。
私たち|わたしたち|we (colloquial)|私たちは来月結婚します。<br><br>私たちはビデオゲームをした。
近く|ちかく|"""<div><font color=""""#ff9500"""">near, close to</font></div> <font color=""""#007aff"""">in the near future, before long</font><br>"""|駅の近くで食事をした。<br><br>私の家は駅の近くです。
やる|やる|to do, perform, give (to inferiors)|一緒に宿題をやろう。<br><br>宿題は自分でやりなさい。
かなり|かなり|"""fairly, rather, quite, <font color=""""#666666"""">considerably</font><br>"""|彼はかなり英語が上手です。<br><br>この問題はかなり易しいです。
国|くに|country|私の国について少しお話しましょう。<br><br>私はこの国の文化を勉強しています。
起こる|おこる|to occur, happen|町で大事件が起こりました。<br><br>大変なことが起こりました。
秋|あき|autumn, fall|彼女は秋に結婚します。<br><br>秋はぶどうがおいしいです。
送る|おくる|"""<span style=""""color: rgb(0, 170, 0);"""">to send</span>"""|彼の家に荷物を送りました。<br><br>彼にエアメールを送りました。
死ぬ|しぬ|to die|犬が病気で死にました。<br><br>うちのネコが死んで、とても悲しいです。
気持ち|きもち|feeling, sensation|彼の気持ちが分からない。<br><br>このソファーは気持ちがいい。
乗る|のる|to ride, take, get on (bus, train, etc), board|駅からはタクシーに乗ってください。<br><br>私たちは船に乗った。
いる|いる|to be present, stay (animate objects)|今日は一日中家にいました。<br><br>父は家の中にいます。
木|き|tree, wood|台風で木が倒れた。<br><br>猿も木から落ちる。
開ける|あける|"""to open, unlock (<font color=""""#8e8e93"""">doors, windows, lids, </font><font color=""""#007aff"""">mouth,</font><font color=""""#8e8e93""""> etc.</font>)&nbsp;"""|窓を開けてください。<br><br>朝、カーテンを開けた。
閉める|しめる|"""to close, <font color=""""#8e8e93"""">shut</font> <font color=""""#8e8e93"""">(doors, windows, lids, etc. that require <u>effort)</u></font><div><font color=""""#8e8e93"""">(direct object)</font></div>"""|ちゃんとドアを閉めてよ。<br><br>寒いので窓を閉めてください。
続く|つづく|"""to continue, follow <span style=""""color: rgb(102, 102, 102);"""">(no direct object)</span>"""|工事は3月まで続きます。<br><br>ここ3日間、雨が続いています。
お医者さん|おいしゃさん|doctor (polite)|熱があるのでお医者さんに行った。<br><br>私はこれからお医者さんに行きます。
円|えん|Japanese yen, circle|カレーライスは700円です。<br><br>この靴は1万円です。
ここ|ここ|here|ここに本があります。<br><br>ここが私の家です。
待つ|まつ|to wait, wait for|あなたが来るのを待っています。<br><br>私は二日待った。
低い|ひくい|low, short&nbsp;|彼は背が低い。<br><br>彼は低い声で言いました。
もらう|もらう|"""to receive, get <span style=""""color: rgb(102, 102, 102);"""">(direct object from someone to speaker)</span><br>"""|彼女からプレゼントをもらいました。<br><br>誕生日にプレゼントをもらいました。
食べる|たべる|to eat|昨日タイカレーを食べました。<br><br>昨日の夜は肉をたくさん食べました。
兄|あに|(one's own) older brother (said when referring to your older brother but not when speaking directly to him)|兄は水泳が得意です。<br><br>兄はゴルフを始めました。
名前|なまえ|name|あなたの名前を教えてください。<br><br>ローマ字で名前を書いてください。
夫|おっと|husband|私の夫はサラリーマンです。<br><br>夫を「パパ」と呼ぶ女の人は少なくない。
一|いち|one|一から始めましょう。<br><br>日本語で一から十まで数えてください。
結婚|けっこん|"""marriage<span style=""""color: rgb(102, 102, 102);""""> (add&nbsp;します)</span>"""|彼女は来月結婚します。<br><br>私たちは先月11日に結婚しました。
親|おや|parent|親の愛はありがたい。<br><br>彼女もそのうち、親の気持ちが分かるだろう。
話す|はなす|"""to speak, talk, tell <span style=""""color: rgb(142, 142, 147);"""">(when used with ni)</span><br>"""|母と電話で話しました。<br><br>もっとゆっくり話してください。
少し|すこし|"""a bit, a little, <font color=""""#8e8e93"""">a skosh</font><font color=""""#666666"""">&nbsp;(amount or length of time)</font><br>"""|少し疲れました。<br><br>ワインを少し飲みました。
閉じる|とじる|"""to close <span style=""""color: rgb(131, 0, 131);"""">(books, eyes, mouth etc.)<br></span>閉める"""|教科書を閉じてください。<br><br>彼女は目を閉じた。
時|とき|time, moment|時の経つのは早い。<br><br>あの時、私はまだ学生でした。
米|こめ|"""rice <span style=""""color: rgb(102, 102, 102);"""">(uncooked grain)</span>"""|日本人はお米が大好きです。<br><br>あのお寿司屋さんはいいお米を使っていますよ。
切る|きる|to cut|この紙を半分に切ってください。<br><br>昨日、髪を切りました。
楽しい|たのしい|"""<span style=""""color: rgb(255, 85, 0);"""">fun, enjoyable</span>"""|彼はとても楽しい人です。<br><br>日本での生活は楽しいです。
服|ふく|"""<span style=""""color: rgb(14, 130, 255);"""">clothes (colloquial)</span>"""|昨日、新しい服を買った。<br><br>この服はとても安かった。
後ろ|うしろ|rear, back, behind|後ろを向いて。<br><br>後ろの席が空いています。
嬉しい|うれしい|happy, glad|彼に会えて嬉しかった。<br><br>今日は授業がなくて嬉しいです。
腰|こし|waist, lower back|昨日から腰が痛い。<br><br>私のおじいちゃんは腰が曲がっています。
日曜日|にちようび|Sunday|日曜日は海に行きました。<br><br>日曜日は図書館に行きます。
昼|ひる|"""noon, <font color=""""#8e8e93"""">midday,&nbsp;daytime</font>"""|私は昼のドラマを毎日見ます。<br><br>明日は昼頃から曇るでしょう。
お母さん|おかあさん|mother, mom (colloquial)|お母さんによろしくお伝えください。<br><br>お母さんは台所にいます。
大学生|だいがくせい|university student|姉は大学生です。<br><br>来月から大学生になります。
終わり|おわり|end, finish|夏休みももう終わりだ。<br><br>今日はもう終わりにしましょう。
背|せ|height, stature|彼女は背が高い。<br><br>彼は背が低い。
手伝う|てつだう|"""to help, assist <font color=""""#8e8e93"""">(not for crises like tetsudau)</font>"""|私が手伝いましょう。<br><br>宿題、手伝ってくれない？
鼻|はな|nose|鼻がかゆいです。<br><br>豚はすごく鼻がいい。
起きる|おきる|"""1. to get up, wake up<br>2. to occur, happen <font color=""""#8e8e93"""">(spontaneously or naturally)</font>"""|近所で盗難事件が起きました。<br><br>事故はここで起きました。
載せる|のせる|"""to put on, place, <span style=""""color: rgb(102, 102, 102);"""">load</span>&nbsp;<span style=""""color: rgb(102, 102, 102);"""">(direct object)</span>"""|皿にケーキを載せました。<br><br>彼女はかばんを膝に載せた。
悲しい|かなしい|"""<font color=""""#0a84ff"""">sad</font>"""|その映画はとても悲しかった。<br><br>うちのネコが死んでとても悲しいです。
しゃべる|しゃべる|to chat, talk|彼女はよくしゃべるね。<br><br>彼は授業中、ずっと しゃべっていました。
近く|ちかく|"""<div><font color=""""#ff9500"""">near, close to</font></div><font color=""""#007aff"""">in the near future, before long</font>"""|近く、留学する予定です。<br><br>兄は近く結婚します。
甘い|あまい|sweet|このいちごは甘い。<br><br>このジュースは甘すぎる。
テーブル|てーぶる|table|新しいテーブルを買いました。<br><br>こっちの四角いテーブルを買おうよ。
食べ物|たべもの|food (colloquial)|日本の食べ物はとてもおいしいです。<br><br>弟は食べ物の好き嫌いが多い。
始まる|はじまる|"""to begin, start <font color=""""#8e8e93"""">(no direct object)</font>"""|新しい仕事が始まりました。<br><br>新しい年が始まりました。
ゲーム|げーむ|game (loan word)|私たちはビデオゲームをした。<br><br>このゲームのルールは簡単です。
十|じゅう|ten|その子は指で十数えました。<br><br>昨日、友達十人とカラオケに行きました。
天気|てんき|"""<span style=""""color: rgb(14, 130, 255);"""">weather</span>"""|今日はいい天気ですね。<br><br>明日の天気は晴れです。
暑い|あつい|"""hot <font color=""""#8e8e93"""">(of weather)</font>"""|今日はとても暑い。<br><br>外は暑いよ。
太い|ふとい|thick, fat|彼女は足が太い。<br><br>彼の腕は太い。
晩|ばん|"""evening, night <font color=""""#8e8e93"""">(from sunset to bedtime, earlier than yoru)</font>"""|彼は朝から晩まで働いたの。<br><br>彼は三日三晩寝ませんでした。
土曜日|どようび|Saturday|土曜日の夜はクラブに行きます。<br><br>土曜日はよく友達と映画を見ます。
痛い|いたい|painful, hurts, sore|今日は頭が痛いです。<br><br>昨日から腰が痛い。
お父さん|おとうさん|father, dad (colloquial)|お父さんは会社員です。<br><br>私のお父さんはとても優しいです。
多分|たぶん|probably, perhaps, maybe|彼女は多分家で寝ています。<br><br>彼は多分、来ないと思います。
時計|とけい|clock, watch|時計を見たらちょうど3時だった。<br><br>あの家には時計が八つあります。
泊まる|とまる|to stay overnight|今日はこのホテルに泊まります。<br><br>私は友達の所に泊まった。
どうして|どうして|"""why, <font color=""""#8e8e93"""">how come</font>"""|どうして泣いているの。<br><br>あなたはどうして人の話を聞かないんですか。
掛ける|かける|"""to hang, put on<span style=""""color: rgb(142, 142, 147);"""">&nbsp;</span><span style=""""color: rgb(102, 102, 102);"""">(direct object, eg glasses)</span>"""|夫の服をハンガーに掛けた。<br><br>本にカバーを掛けました。
曲がる|まがる|"""to turn, <span style=""""color: rgb(102, 102, 102);"""">bend, curve (no direct object)</span>"""|そこを左に曲がってください。<br><br>次の角で左に曲がってください。
お腹|おなか|"""stomach, <font color=""""#8e8e93"""">belly</font>"""|お腹が空きました。<br><br>お腹がすごく痛いです。
